Curve,FAR,TPR,Threshold,AUC
Overall,0.0625,0.47833333333333333,0.8667473439705661,0.869575
Overall,0.0625,0.48,0.8666281836659016,0.869575
Overall,0.0625,0.4816666666666667,0.8663252548976815,0.869575
Overall,0.0625,0.48333333333333334,0.8662262240161067,0.869575
Overall,0.063125,0.48333333333333334,0.8660182297450559,0.869575
Overall,0.063125,0.485,0.8659028630938377,0.869575
Overall,0.063125,0.4866666666666667,0.8657546462942726,0.869575
Overall,0.06375,0.4866666666666667,0.8655722514257016,0.869575
Overall,0.06375,0.48833333333333334,0.8649754459227043,0.869575
Overall,0.06375,0.49,0.864834977469284,0.869575
Overall,0.06375,0.49166666666666664,0.8647843822938701,0.869575
Overall,0.06375,0.49333333333333335,0.8644705866080943,0.869575
Overall,0.064375,0.49333333333333335,0.8643000330792079,0.869575
Overall,0.064375,0.495,0.864070835300793,0.869575
Overall,0.064375,0.49666666666666665,0.863820653566739,0.869575
Overall,0.065,0.49666666666666665,0.8637896824697264,0.869575
Overall,0.065,0.49833333333333335,0.8637826235813508,0.869575
Overall,0.065,0.5,0.8636256603128577,0.869575
Overall,0.065,0.5016666666666667,0.8635185033311814,0.869575
Overall,0.065625,0.5016666666666667,0.8633886337753225,0.869575
Overall,0.065625,0.5033333333333333,0.8632987814710766,0.869575
Overall,0.06625,0.5033333333333333,0.8631274669542134,0.869575
Overall,0.066875,0.5033333333333333,0.8629876398895292,0.869575
Overall,0.066875,0.505,0.8624919960098606,0.869575
Overall,0.066875,0.5066666666666667,0.8624452848395076,0.869575
Overall,0.066875,0.5083333333333333,0.862201727191968,0.869575
Overall,0.066875,0.51,0.8619724473005286,0.869575
Overall,0.066875,0.5116666666666667,0.8616119225137384,0.869575
Overall,0.0675,0.5116666666666667,0.8615442907817512,0.869575
Overall,0.068125,0.5116666666666667,0.8613997222152556,0.869575
Overall,0.06875,0.5116666666666667,0.8610498623646807,0.869575
Overall,0.069375,0.5116666666666667,0.8608363245043443,0.869575
Overall,0.069375,0.5133333333333333,0.8604957995080267,0.869575
Overall,0.07,0.5133333333333333,0.860396754184332,0.869575
Overall,0.07,0.515,0.8603798727804104,0.869575
Overall,0.07,0.5166666666666667,0.8599221668458884,0.869575
Overall,0.070625,0.5166666666666667,0.8597722666382049,0.869575
Overall,0.070625,0.5183333333333333,0.8596026266051748,0.869575
Overall,0.07125,0.5183333333333333,0.8595895357469285,0.869575
Overall,0.071875,0.5183333333333333,0.8592027156898355,0.869575
Overall,0.071875,0.52,0.8591597944717589,0.869575
Overall,0.071875,0.5216666666666666,0.8588786377519796,0.869575
Overall,0.071875,0.5233333333333333,0.8587112647466761,0.869575
Overall,0.071875,0.525,0.8585936409834759,0.869575
Overall,0.071875,0.5266666666666666,0.8583748632293781,0.869575
Overall,0.071875,0.5283333333333333,0.8583657391301659,0.869575
Overall,0.0725,0.5283333333333333,0.8580230633797281,0.869575
Overall,0.0725,0.53,0.8579575588401648,0.869575
Overall,0.0725,0.5316666666666666,0.8578190038480971,0.869575
Overall,0.073125,0.5316666666666666,0.857520924525933,0.869575
Overall,0.07375,0.5316666666666666,0.8575096653019891,0.869575
Overall,0.07375,0.5333333333333333,0.8570137448129377,0.869575
Overall,0.074375,0.5333333333333333,0.8566391804332518,0.869575
Overall,0.074375,0.535,0.8566377794730998,0.869575
Overall,0.075,0.535,0.856611475392482,0.869575
Overall,0.075,0.5366666666666666,0.8566084876298429,0.869575
Overall,0.075625,0.5366666666666666,0.8565535666814893,0.869575
Overall,0.075625,0.5383333333333333,0.8563906642758735,0.869575
Overall,0.075625,0.54,0.856339669522135,0.869575
Overall,0.075625,0.5416666666666666,0.856212676083666,0.869575
Overall,0.07625,0.5416666666666666,0.8560863219163445,0.869575
Overall,0.07625,0.5433333333333333,0.8559953544363813,0.869575
Overall,0.07625,0.545,0.8557943178156081,0.869575
Overall,0.07625,0.5466666666666666,0.8557603055918781,0.869575
Overall,0.076875,0.5466666666666666,0.8555738731006174,0.869575
Overall,0.0775,0.5466666666666666,0.8554418898102284,0.869575
Overall,0.078125,0.5466666666666666,0.8553660648098309,0.869575
Overall,0.078125,0.5483333333333333,0.8553183516282302,0.869575
Overall,0.07875,0.5483333333333333,0.855242447251864,0.869575
Overall,0.07875,0.55,0.8551979807853959,0.869575
Overall,0.079375,0.55,0.8550748794956929,0.869575
